"Age","Job","Marital","Education","Default","Mortgage","Loan","Contact","Outcome"
31,"technician","married","professional.course","unknown","yes","no","mobile","no"
28,"technician","married","university.degree","no","unknown","unknown","mobile","yes"
41,"self-employed","married","basic.6y","no","no","no","mobile","no"
47,"technician","married","high.school","unknown","yes","yes","mobile","no"
59,"admin.","married","professional.course","no","no","no","landline","no"
56,"admin.","married","unknown","unknown","unknown","unknown","mobile","no"
60,"management","married","professional.course","unknown","yes","no","mobile","no"
35,"technician","married","high.school","no","no","no","mobile","no"
43,"blue-collar","married","high.school","unknown","yes","no","mobile","no"
33,"entrepreneur","married","university.degree","no","yes","no","landline","no"
51,"entrepreneur","married","basic.9y","no","no","yes","landline","no"
28,"admin.","married","university.degree","no","yes","no","landline","no"
35,"technician","single","university.degree","no","no","yes","mobile","yes"
42,"services","married","high.school","unknown","no","no","mobile","no"
57,"housemaid","married","university.degree","no","no","no","mobile","no"
45,"self-employed","married","professional.course","unknown","yes","yes","landline","no"
53,"retired","married","basic.9y","no","yes","no","landline","no"
59,"entrepreneur","married","university.degree","no","yes","no","mobile","yes"
49,"unemployed","married","professional.course","no","yes","no","mobile","yes"
57,"management","married","university.degree","no","yes","no","mobile","yes"
49,"technician","divorced","university.degree","unknown","yes","yes","landline","no"
46,"housemaid","married","basic.4y","unknown","no","yes","landline","no"
41,"management","divorced","basic.6y","no","no","no","mobile","no"
44,"technician","married","basic.9y","no","yes","yes","mobile","no"
27,"unemployed","single","university.degree","no","yes","no","mobile","yes"
62,"management","married","university.degree","no","yes","yes","mobile","no"
59,"admin.","married","basic.4y","unknown","yes","no","mobile","no"
51,"unemployed","divorced","university.degree","unknown","yes","no","mobile","no"
46,"blue-collar","married","basic.9y","no","yes","no","mobile","no"
54,"blue-collar","married","basic.4y","unknown","no","no","landline","no"
31,"services","single","basic.9y","unknown","yes","no","mobile","no"
41,"management","divorced","high.school","no","no","yes","mobile","yes"
31,"technician","single","basic.9y","unknown","no","no","landline","no"
57,"technician","married","professional.course","no","no","no","mobile","yes"
50,"services","married","high.school","no","yes","no","landline","no"
36,"management","married","university.degree","unknown","yes","yes","mobile","no"
35,"blue-collar","divorced","basic.9y","no","no","no","mobile","no"
38,"services","single","high.school","unknown","yes","no","landline","no"
26,"management","single","university.degree","no","no","no","mobile","no"
38,"housemaid","married","high.school","no","no","no","mobile","no"
34,"student","single","university.degree","no","no","yes","mobile","yes"
35,"unemployed","divorced","university.degree","no","no","no","mobile","no"
24,"unemployed","single","university.degree","no","yes","no","mobile","yes"
33,"admin.","single","university.degree","unknown","no","no","mobile","no"
28,"services","married","high.school","no","yes","no","landline","no"
59,"housemaid","married","basic.6y","no","yes","no","landline","no"
30,"self-employed","married","basic.9y","no","yes","no","landline","no"
38,"services","married","high.school","no","yes","yes","landline","no"
49,"housemaid","married","unknown","no","yes","no","mobile","yes"
48,"blue-collar","divorced","basic.4y","unknown","yes","yes","mobile","no"
32,"unknown","single","high.school","no","yes","no","mobile","no"
36,"technician","single","university.degree","no","no","no","mobile","yes"
56,"entrepreneur","married","university.degree","no","yes","yes","landline","no"
25,"management","single","university.degree","no","yes","no","landline","no"
36,"services","married","high.school","no","no","no","landline","no"
46,"student","single","unknown","no","yes","no","landline","yes"
36,"admin.","married","basic.9y","no","yes","yes","mobile","no"
46,"retired","married","university.degree","no","no","no","mobile","yes"
44,"services","married","high.school","no","yes","yes","landline","no"
69,"unknown","married","university.degree","no","yes","yes","mobile","no"
47,"blue-collar","divorced","basic.9y","no","no","yes","landline","no"
34,"management","married","university.degree","no","yes","no","landline","no"
42,"blue-collar","single","basic.4y","no","yes","yes","mobile","no"
27,"unemployed","single","basic.9y","no","no","no","mobile","no"
42,"technician","divorced","basic.9y","no","no","no","landline","no"
54,"blue-collar","married","basic.9y","unknown","no","yes","landline","no"
30,"services","married","basic.6y","no","unknown","unknown","mobile","no"
27,"entrepreneur","married","professional.course","no","unknown","unknown","mobile","no"
28,"blue-collar","single","high.school","unknown","yes","no","landline","no"
38,"admin.","married","high.school","no","unknown","unknown","landline","no"
39,"services","married","unknown","unknown","no","no","mobile","no"
60,"unknown","married","university.degree","no","no","yes","landline","no"
48,"blue-collar","divorced","basic.4y","no","yes","no","mobile","yes"
34,"blue-collar","married","basic.6y","no","yes","no","landline","no"
47,"self-employed","married","university.degree","no","no","yes","mobile","no"
44,"technician","single","unknown","no","yes","no","landline","no"
38,"unemployed","single","university.degree","no","yes","yes","mobile","no"
36,"entrepreneur","married","university.degree","unknown","unknown","unknown","landline","no"
45,"unemployed","married","high.school","no","yes","no","mobile","no"
53,"self-employed","divorced","basic.9y","no","yes","no","landline","no"
32,"technician","divorced","high.school","no","no","no","mobile","no"
26,"student","single","unknown","no","no","no","mobile","yes"
37,"management","single","university.degree","no","yes","no","mobile","no"
32,"self-employed","married","high.school","no","yes","no","mobile","no"
41,"housemaid","married","high.school","no","no","no","landline","no"
27,"services","married","professional.course","no","yes","no","landline","no"
79,"retired","married","high.school","no","unknown","unknown","mobile","no"
47,"unemployed","married","high.school","no","yes","no","mobile","no"
40,"blue-collar","married","high.school","no","yes","yes","landline","no"
54,"unemployed","married","university.degree","no","yes","no","mobile","no"
52,"services","married","university.degree","no","yes","yes","landline","no"
49,"services","divorced","basic.9y","no","yes","no","landline","no"
31,"management","married","university.degree","no","yes","no","mobile","no"
41,"technician","divorced","high.school","no","yes","no","mobile","no"
37,"services","married","high.school","no","yes","no","landline","no"
45,"unknown","married","high.school","unknown","yes","no","mobile","no"
47,"management","married","university.degree","unknown","yes","no","mobile","no"
49,"self-employed","divorced","unknown","unknown","yes","no","mobile","no"
56,"blue-collar","married","unknown","unknown","yes","no","mobile","no"
42,"technician","married","unknown","no","no","yes","landline","yes"
34,"technician","single","high.school","no","yes","no","landline","no"
47,"housemaid","single","basic.9y","no","no","no","mobile","no"
61,"housemaid","married","professional.course","no","yes","no","mobile","yes"
36,"admin.","single","high.school","no","yes","yes","mobile","no"
41,"services","married","basic.9y","no","no","no","landline","no"
56,"admin.","divorced","basic.9y","unknown","yes","no","landline","no"
37,"blue-collar","single","basic.6y","no","no","no","mobile","no"
57,"unemployed","married","university.degree","no","yes","yes","mobile","no"
41,"blue-collar","married","basic.6y","no","yes","no","mobile","no"
41,"housemaid","married","basic.6y","no","no","no","landline","no"
54,"unemployed","married","basic.9y","no","yes","no","mobile","yes"
57,"admin.","married","university.degree","unknown","yes","no","mobile","no"
54,"services","married","basic.4y","no","yes","yes","mobile","no"
57,"management","married","university.degree","no","yes","no","mobile","no"
42,"housemaid","married","basic.4y","unknown","yes","no","landline","no"
50,"technician","single","high.school","unknown","no","no","landline","no"
53,"entrepreneur","divorced","unknown","no","yes","no","landline","no"
78,"retired","married","high.school","no","no","no","landline","yes"
40,"blue-collar","married","high.school","no","yes","no","landline","no"
34,"blue-collar","married","basic.9y","unknown","no","yes","mobile","no"
55,"unemployed","married","university.degree","no","yes","yes","mobile","no"
35,"services","single","high.school","unknown","yes","yes","landline","no"
56,"retired","married","professional.course","no","yes","no","mobile","no"
40,"services","married","basic.6y","no","no","no","mobile","no"
52,"management","married","university.degree","no","yes","yes","mobile","no"
46,"technician","married","high.school","no","no","no","landline","no"
40,"management","married","university.degree","no","yes","no","landline","no"
44,"blue-collar","married","basic.6y","unknown","no","yes","landline","no"
48,"admin.","single","high.school","no","yes","no","landline","yes"
22,"blue-collar","married","basic.4y","no","unknown","unknown","landline","no"
42,"self-employed","married","university.degree","no","unknown","unknown","mobile","no"
42,"blue-collar","divorced","basic.4y","unknown","yes","no","landline","no"
44,"services","divorced","high.school","unknown","no","no","landline","no"
33,"admin.","married","basic.9y","no","unknown","unknown","landline","no"
45,"housemaid","married","basic.4y","no","yes","no","mobile","no"
52,"housemaid","divorced","basic.9y","unknown","no","no","mobile","no"
55,"technician","married","high.school","no","yes","yes","mobile","no"
48,"blue-collar","divorced","professional.course","no","yes","no","landline","no"
52,"technician","married","professional.course","unknown","no","no","mobile","no"
25,"blue-collar","single","basic.4y","no","yes","no","mobile","yes"
53,"entrepreneur","married","illiterate","no","yes","no","mobile","yes"
50,"admin.","divorced","basic.9y","no","no","no","landline","no"
32,"blue-collar","single","basic.9y","unknown","unknown","unknown","mobile","no"
25,"services","married","high.school","no","yes","no","mobile","no"
39,"blue-collar","married","basic.9y","no","unknown","unknown","landline","no"
42,"admin.","divorced","high.school","no","no","no","mobile","no"
53,"management","married","basic.9y","unknown","yes","no","landline","no"
46,"management","divorced","high.school","no","yes","yes","mobile","no"
59,"retired","married","basic.4y","no","yes","no","mobile","no"
32,"technician","divorced","professional.course","no","no","yes","mobile","no"
29,"admin.","single","university.degree","unknown","yes","no","mobile","no"
53,"services","divorced","university.degree","no","no","yes","landline","no"
31,"admin.","divorced","university.degree","no","no","no","landline","no"
38,"technician","married","university.degree","no","yes","no","landline","no"
56,"entrepreneur","married","university.degree","unknown","no","no","mobile","no"
58,"services","divorced","professional.course","no","yes","no","landline","no"
45,"services","married","high.school","unknown","no","no","mobile","no"
48,"entrepreneur","married","basic.9y","no","no","no","mobile","no"
29,"blue-collar","single","basic.9y","no","no","no","mobile","no"
30,"blue-collar","married","basic.4y","no","no","no","mobile","no"
55,"retired","single","university.degree","no","no","no","mobile","yes"
57,"entrepreneur","married","university.degree","no","yes","no","landline","no"
31,"blue-collar","single","basic.6y","no","no","no","mobile","no"
33,"technician","divorced","high.school","no","yes","yes","mobile","no"
30,"admin.","married","high.school","no","unknown","unknown","mobile","no"
56,"admin.","married","basic.9y","no","no","no","landline","no"
33,"blue-collar","married","basic.9y","unknown","yes","no","mobile","no"
59,"unknown","married","unknown","no","yes","no","mobile","no"
25,"unemployed","married","high.school","no","no","no","mobile","no"
34,"blue-collar","single","basic.6y","no","yes","yes","mobile","no"
28,"technician","single","high.school","no","yes","no","landline","no"
62,"blue-collar","married","basic.4y","no","no","yes","mobile","yes"
33,"management","married","high.school","no","no","yes","mobile","no"
50,"self-employed","married","professional.course","no","yes","no","mobile","no"
25,"services","married","high.school","unknown","yes","no","mobile","yes"
35,"admin.","divorced","high.school","no","no","yes","landline","no"
43,"technician","married","high.school","no","no","no","mobile","yes"
46,"self-employed","married","professional.course","no","yes","no","landline","no"
46,"admin.","married","unknown","unknown","no","no","landline","no"
39,"housemaid","married","basic.9y","no","yes","yes","mobile","no"
28,"services","single","basic.9y","unknown","yes","no","landline","no"
43,"blue-collar","married","basic.9y","unknown","unknown","unknown","mobile","no"
30,"blue-collar","married","basic.9y","unknown","yes","no","landline","no"
19,"student","single","high.school","unknown","no","yes","mobile","no"
51,"unemployed","married","basic.4y","no","no","no","mobile","yes"
40,"admin.","married","university.degree","unknown","yes","no","landline","no"
28,"blue-collar","single","professional.course","no","no","no","mobile","no"
48,"blue-collar","married","unknown","unknown","no","no","landline","no"
46,"blue-collar","single","basic.9y","unknown","yes","no","mobile","no"
45,"unknown","married","unknown","no","yes","no","landline","no"
41,"technician","married","professional.course","no","no","yes","landline","no"
52,"unemployed","married","high.school","unknown","yes","no","landline","no"
23,"technician","single","professional.course","no","unknown","unknown","mobile","no"
32,"management","married","university.degree","no","no","no","mobile","no"
85,"housemaid","divorced","basic.4y","unknown","yes","no","landline","no"
39,"housemaid","divorced","basic.9y","no","no","no","mobile","yes"
32,"services","married","high.school","no","no","no","landline","no"
34,"blue-collar","single","basic.9y","no","yes","no","mobile","no"
43,"self-employed","divorced","university.degree","no","no","no","mobile","no"
54,"services","divorced","university.degree","no","yes","no","mobile","no"
31,"blue-collar","divorced","basic.9y","unknown","yes","no","mobile","no"
39,"blue-collar","married","unknown","no","yes","no","mobile","no"
41,"blue-collar","divorced","basic.4y","no","yes","no","mobile","yes"
25,"blue-collar","married","basic.4y","no","no","no","landline","no"
29,"unemployed","married","basic.4y","unknown","yes","no","mobile","no"
58,"unemployed","divorced","high.school","no","no","no","mobile","no"
54,"retired","married","high.school","unknown","yes","no","mobile","no"
38,"housemaid","married","basic.6y","no","no","no","mobile","yes"
32,"services","single","university.degree","no","yes","no","mobile","yes"
38,"admin.","single","high.school","no","unknown","unknown","mobile","yes"
44,"housemaid","married","high.school","unknown","no","no","landline","no"
68,"technician","married","basic.4y","no","yes","no","mobile","yes"
38,"technician","divorced","university.degree","unknown","yes","no","mobile","no"
32,"admin.","married","university.degree","no","unknown","unknown","mobile","no"
53,"retired","married","high.school","no","no","no","mobile","yes"
43,"management","married","high.school","no","yes","no","landline","no"
27,"services","single","high.school","no","no","no","mobile","no"
41,"technician","divorced","basic.4y","no","no","no","mobile","yes"
45,"blue-collar","married","basic.6y","unknown","yes","no","landline","no"
38,"technician","single","high.school","no","yes","no","mobile","no"
56,"unemployed","divorced","basic.4y","no","yes","no","mobile","yes"
29,"blue-collar","divorced","unknown","unknown","no","no","mobile","no"
29,"services","married","high.school","unknown","no","no","mobile","no"
23,"technician","married","professional.course","no","no","no","mobile","no"
35,"technician","divorced","professional.course","no","yes","no","landline","no"
51,"self-employed","married","university.degree","unknown","no","no","landline","no"
52,"services","married","high.school","no","no","no","landline","no"
37,"technician","married","basic.9y","no","no","no","landline","yes"
38,"self-employed","married","professional.course","no","yes","yes","landline","yes"
28,"blue-collar","married","high.school","no","yes","no","landline","no"
52,"housemaid","married","basic.4y","unknown","no","no","landline","no"
42,"management","single","university.degree","no","no","no","mobile","no"
53,"self-employed","married","university.degree","no","no","no","landline","no"
45,"unemployed","divorced","basic.4y","no","yes","no","mobile","no"
32,"self-employed","single","university.degree","no","no","no","mobile","yes"
25,"admin.","married","high.school","no","no","yes","mobile","no"
50,"technician","married","professional.course","no","no","yes","landline","no"
49,"unemployed","married","basic.4y","unknown","yes","no","mobile","no"
51,"management","married","university.degree","no","no","no","mobile","yes"
56,"management","married","university.degree","unknown","no","yes","landline","no"
55,"management","single","basic.4y","no","no","no","landline","no"
57,"retired","married","basic.4y","unknown","yes","yes","mobile","no"
40,"blue-collar","married","professional.course","no","yes","no","mobile","no"
26,"admin.","single","high.school","no","yes","no","mobile","yes"
36,"management","single","university.degree","no","yes","no","mobile","no"
40,"admin.","single","high.school","no","no","no","landline","no"
41,"services","single","unknown","unknown","no","no","mobile","no"
51,"services","married","high.school","no","no","no","mobile","no"
42,"unemployed","married","basic.4y","unknown","yes","no","landline","no"
45,"unemployed","married","university.degree","no","no","no","landline","no"
31,"services","married","high.school","no","yes","no","mobile","yes"
48,"technician","divorced","professional.course","unknown","yes","no","mobile","no"
59,"admin.","married","basic.6y","no","yes","no","landline","no"
41,"unemployed","married","unknown","no","no","no","landline","no"
60,"management","married","university.degree","no","yes","no","mobile","no"
43,"technician","single","professional.course","no","yes","no","mobile","no"
40,"management","married","university.degree","no","unknown","unknown","mobile","no"
38,"technician","married","university.degree","no","no","yes","mobile","yes"
30,"technician","single","high.school","no","no","no","mobile","yes"
58,"admin.","married","university.degree","no","yes","no","mobile","yes"
44,"blue-collar","single","basic.4y","no","yes","no","landline","no"
57,"self-employed","married","basic.4y","no","yes","no","mobile","no"
60,"housemaid","divorced","professional.course","no","yes","no","mobile","no"
43,"blue-collar","married","basic.9y","unknown","no","no","landline","no"
25,"blue-collar","single","basic.9y","no","yes","yes","landline","no"
26,"technician","single","university.degree","no","yes","no","mobile","no"
51,"management","married","university.degree","no","yes","no","mobile","no"
30,"technician","single","university.degree","unknown","yes","no","mobile","no"
40,"admin.","single","high.school","no","yes","yes","landline","no"
48,"technician","married","basic.4y","unknown","no","no","mobile","no"
31,"technician","single","professional.course","unknown","yes","yes","mobile","no"
52,"technician","married","basic.9y","unknown","no","no","landline","no"
51,"blue-collar","married","high.school","no","no","yes","landline","no"
17,"student","single","basic.9y","no","yes","no","mobile","no"
31,"housemaid","single","university.degree","no","no","no","mobile","no"
43,"management","married","unknown","no","no","yes","mobile","no"
52,"blue-collar","married","basic.9y","unknown","no","no","mobile","no"
56,"admin.","married","university.degree","no","yes","no","mobile","yes"
26,"services","married","high.school","no","no","no","landline","no"
45,"services","married","high.school","unknown","yes","no","landline","no"
33,"technician","divorced","professional.course","no","yes","yes","mobile","no"
44,"retired","single","basic.9y","no","no","no","mobile","no"
46,"entrepreneur","single","university.degree","no","yes","yes","mobile","no"
31,"entrepreneur","married","basic.9y","no","no","no","mobile","no"
45,"admin.","married","high.school","unknown","no","yes","mobile","no"
36,"housemaid","married","high.school","no","yes","no","landline","no"
58,"technician","married","unknown","unknown","no","no","mobile","no"
55,"housemaid","divorced","university.degree","no","yes","no","landline","no"
32,"unemployed","married","university.degree","no","no","no","mobile","no"
32,"technician","married","high.school","unknown","yes","no","mobile","no"
53,"entrepreneur","married","university.degree","unknown","no","yes","landline","no"
34,"entrepreneur","married","professional.course","no","yes","no","landline","no"
40,"management","married","university.degree","unknown","no","no","mobile","no"
48,"unknown","married","basic.4y","unknown","no","no","landline","no"
49,"retired","married","basic.9y","no","no","no","landline","no"
56,"admin.","married","university.degree","unknown","no","no","landline","no"
33,"services","single","basic.6y","unknown","yes","no","landline","no"
43,"technician","married","professional.course","unknown","yes","no","landline","no"
44,"blue-collar","single","basic.9y","unknown","no","no","landline","no"
43,"self-employed","married","university.degree","unknown","yes","yes","landline","no"
38,"admin.","married","university.degree","no","yes","no","mobile","yes"
30,"technician","married","university.degree","no","unknown","unknown","landline","no"
42,"services","single","basic.6y","no","yes","no","mobile","no"
30,"student","single","unknown","unknown","yes","no","landline","no"
53,"unknown","married","unknown","no","no","no","landline","no"
61,"housemaid","married","basic.4y","no","no","no","mobile","yes"
35,"blue-collar","single","basic.9y","no","yes","yes","landline","yes"
61,"admin.","married","basic.9y","no","no","no","mobile","yes"
47,"technician","married","basic.9y","no","no","yes","mobile","no"
48,"admin.","married","high.school","no","yes","no","landline","no"
35,"technician","married","professional.course","unknown","no","no","mobile","no"
53,"technician","married","professional.course","no","yes","no","mobile","no"
44,"self-employed","married","university.degree","unknown","unknown","unknown","landline","no"
49,"unemployed","married","basic.6y","no","yes","no","mobile","yes"
33,"technician","married","high.school","no","no","yes","landline","no"
32,"blue-collar","married","basic.6y","unknown","no","no","landline","no"
45,"blue-collar","married","basic.6y","no","yes","no","landline","no"
40,"services","married","basic.9y","no","no","no","landline","no"
55,"blue-collar","married","basic.6y","unknown","no","no","mobile","no"
44,"blue-collar","married","basic.4y","no","no","no","mobile","no"
36,"blue-collar","married","professional.course","unknown","yes","yes","landline","no"
24,"technician","single","professional.course","no","no","yes","landline","no"
30,"blue-collar","married","professional.course","no","no","no","landline","no"
57,"technician","married","high.school","no","no","no","landline","no"
57,"retired","married","high.school","unknown","yes","no","landline","no"
44,"blue-collar","single","basic.6y","no","no","no","landline","no"
28,"services","single","basic.9y","no","yes","no","landline","no"
29,"self-employed","single","university.degree","no","yes","yes","mobile","yes"
45,"entrepreneur","divorced","university.degree","no","yes","yes","landline","no"
57,"self-employed","married","university.degree","no","yes","yes","landline","no"
38,"housemaid","single","high.school","no","yes","no","mobile","yes"
42,"technician","married","professional.course","unknown","no","no","landline","no"
29,"admin.","married","university.degree","unknown","yes","no","landline","no"
51,"admin.","divorced","high.school","no","yes","no","mobile","no"
26,"blue-collar","married","basic.9y","unknown","no","no","landline","no"
56,"admin.","single","university.degree","no","no","yes","mobile","no"
62,"admin.","married","high.school","no","yes","no","mobile","yes"
27,"student","single","university.degree","no","yes","no","landline","no"
49,"unemployed","married","basic.4y","no","yes","no","mobile","no"
36,"unemployed","married","high.school","no","yes","no","mobile","yes"
49,"services","married","high.school","unknown","yes","yes","mobile","no"
55,"admin.","married","basic.9y","unknown","yes","no","landline","no"
57,"self-employed","married","university.degree","no","yes","no","mobile","no"
54,"admin.","married","high.school","no","no","no","landline","no"
42,"technician","married","basic.6y","no","no","no","landline","no"
42,"services","divorced","high.school","no","yes","no","landline","no"
40,"technician","married","high.school","no","yes","no","landline","no"
30,"services","married","high.school","no","no","no","mobile","yes"
38,"technician","married","basic.9y","no","yes","no","landline","no"
28,"self-employed","married","basic.9y","no","yes","no","mobile","no"
49,"admin.","single","high.school","no","no","no","landline","no"
28,"self-employed","single","high.school","no","no","no","mobile","no"
60,"technician","divorced","professional.course","unknown","yes","no","landline","no"
35,"admin.","married","basic.9y","no","yes","yes","mobile","no"
31,"admin.","married","university.degree","no","no","yes","mobile","no"
51,"services","married","high.school","unknown","no","yes","landline","no"
30,"student","single","high.school","no","unknown","unknown","mobile","yes"
46,"blue-collar","married","basic.9y","no","yes","no","landline","yes"
53,"retired","married","basic.6y","unknown","no","yes","landline","no"
54,"admin.","married","university.degree","unknown","yes","no","landline","no"
31,"blue-collar","married","basic.9y","no","no","yes","mobile","yes"
41,"technician","married","professional.course","no","yes","no","mobile","no"
59,"services","married","basic.4y","unknown","no","no","mobile","no"
47,"admin.","single","high.school","no","yes","yes","mobile","no"
39,"technician","divorced","high.school","no","yes","no","mobile","no"
43,"management","married","basic.9y","no","no","no","mobile","no"
46,"admin.","divorced","high.school","no","yes","no","mobile","yes"
63,"retired","divorced","university.degree","no","yes","yes","mobile","no"
46,"technician","married","professional.course","no","unknown","unknown","mobile","no"
44,"unemployed","married","high.school","unknown","yes","no","mobile","no"
55,"services","divorced","high.school","no","yes","no","mobile","no"
50,"management","married","basic.4y","no","yes","no","mobile","no"
29,"unemployed","married","university.degree","no","yes","yes","mobile","no"
48,"services","married","high.school","unknown","no","no","landline","no"
39,"unemployed","married","unknown","unknown","no","no","mobile","yes"
37,"self-employed","married","basic.9y","unknown","yes","yes","mobile","yes"
37,"services","single","university.degree","no","no","no","landline","no"
42,"admin.","married","high.school","no","yes","no","mobile","no"
38,"technician","single","university.degree","no","no","yes","landline","yes"
42,"housemaid","married","university.degree","no","unknown","unknown","landline","no"
55,"services","married","basic.9y","no","yes","no","landline","no"
42,"admin.","married","basic.9y","unknown","yes","yes","mobile","yes"
38,"retired","married","high.school","no","yes","no","mobile","yes"
31,"technician","single","university.degree","no","no","yes","mobile","yes"
42,"services","married","unknown","no","no","no","landline","no"
18,"student","single","basic.6y","no","yes","no","mobile","no"
40,"technician","single","high.school","no","no","no","mobile","yes"
25,"services","divorced","high.school","no","yes","no","landline","no"
48,"technician","married","basic.6y","no","no","yes","landline","no"
45,"unemployed","married","basic.9y","no","yes","no","mobile","no"
29,"admin.","married","basic.9y","no","no","no","mobile","no"
50,"housemaid","divorced","basic.4y","unknown","yes","yes","landline","no"
36,"technician","single","professional.course","no","yes","no","mobile","no"
53,"management","married","professional.course","no","yes","no","mobile","yes"
35,"student","single","high.school","no","yes","yes","mobile","yes"
58,"retired","married","basic.4y","no","no","yes","mobile","yes"
52,"self-employed","married","university.degree","unknown","no","no","mobile","no"
43,"entrepreneur","married","professional.course","no","yes","no","mobile","yes"
27,"admin.","divorced","high.school","no","yes","no","mobile","no"
40,"technician","married","basic.9y","no","yes","no","landline","no"
39,"admin.","married","high.school","no","no","no","landline","no"
55,"blue-collar","married","professional.course","no","yes","yes","mobile","no"
77,"management","single","basic.9y","no","no","no","mobile","no"
56,"self-employed","married","basic.4y","no","no","no","landline","no"
30,"services","single","high.school","no","no","yes","mobile","yes"
34,"housemaid","married","high.school","unknown","no","no","mobile","no"
40,"admin.","married","basic.6y","unknown","yes","no","landline","no"
44,"management","married","basic.6y","no","yes","yes","mobile","no"
59,"technician","divorced","professional.course","no","yes","no","mobile","no"
57,"entrepreneur","married","university.degree","no","no","no","landline","no"
38,"entrepreneur","married","basic.9y","no","yes","no","mobile","no"
49,"technician","single","university.degree","no","yes","no","mobile","yes"
35,"blue-collar","married","basic.4y","unknown","no","yes","mobile","no"
52,"technician","married","basic.9y","no","yes","yes","mobile","no"
30,"admin.","single","basic.9y","no","no","no","mobile","no"
33,"technician","married","basic.9y","no","no","no","landline","no"
30,"blue-collar","single","basic.6y","no","yes","no","landline","no"
41,"services","single","high.school","no","yes","no","landline","yes"
48,"admin.","married","basic.9y","no","no","yes","landline","no"
29,"blue-collar","married","professional.course","no","yes","no","landline","no"
46,"admin.","married","basic.9y","unknown","no","yes","landline","no"
53,"admin.","married","professional.course","no","yes","no","mobile","yes"
31,"blue-collar","married","professional.course","no","no","no","landline","no"
52,"admin.","married","university.degree","no","no","yes","landline","no"
44,"blue-collar","married","high.school","unknown","yes","no","landline","no"
29,"technician","single","professional.course","no","unknown","unknown","mobile","no"
46,"housemaid","married","basic.4y","no","yes","no","mobile","no"
35,"blue-collar","single","basic.9y","unknown","no","no","landline","no"
52,"unknown","married","basic.4y","no","yes","no","landline","no"
57,"blue-collar","married","unknown","no","yes","no","mobile","no"
32,"blue-collar","married","basic.9y","no","unknown","unknown","landline","no"
39,"management","single","university.degree","no","no","no","mobile","yes"
58,"management","married","university.degree","no","no","no","landline","no"
35,"blue-collar","divorced","basic.6y","no","yes","no","mobile","no"
30,"self-employed","married","university.degree","no","no","no","mobile","yes"
41,"blue-collar","single","basic.6y","no","yes","no","mobile","yes"
55,"blue-collar","divorced","basic.4y","no","no","no","mobile","no"
34,"blue-collar","married","basic.4y","no","no","no","mobile","no"
45,"self-employed","married","professional.course","no","yes","no","landline","yes"
71,"retired","married","basic.4y","no","no","no","mobile","yes"
28,"blue-collar","married","basic.6y","unknown","no","yes","mobile","no"
28,"admin.","married","high.school","no","no","no","mobile","no"
65,"admin.","married","university.degree","no","no","yes","mobile","yes"
42,"unknown","single","university.degree","unknown","yes","no","mobile","no"
52,"technician","married","professional.course","no","yes","no","landline","yes"
50,"management","married","basic.9y","no","yes","yes","mobile","no"
62,"retired","divorced","university.degree","no","yes","no","landline","no"
36,"management","married","university.degree","unknown","no","no","mobile","no"
51,"blue-collar","married","basic.4y","no","no","no","landline","no"
49,"management","divorced","basic.6y","no","no","no","landline","no"
35,"services","single","professional.course","unknown","no","no","mobile","no"
37,"admin.","married","university.degree","no","unknown","unknown","mobile","yes"
34,"blue-collar","married","basic.4y","no","yes","no","mobile","no"
49,"blue-collar","married","professional.course","no","no","no","mobile","no"
52,"management","married","university.degree","unknown","no","no","landline","no"
33,"unknown","single","professional.course","no","no","no","mobile","yes"
32,"management","single","university.degree","no","yes","no","landline","no"
34,"entrepreneur","married","university.degree","no","yes","yes","landline","no"
51,"entrepreneur","married","basic.4y","unknown","no","no","mobile","no"
68,"retired","divorced","high.school","no","yes","no","mobile","yes"
39,"housemaid","married","basic.4y","no","yes","no","mobile","no"
50,"blue-collar","married","professional.course","no","yes","no","mobile","no"
39,"services","single","professional.course","unknown","yes","no","mobile","no"
25,"admin.","married","high.school","unknown","no","no","landline","no"
45,"admin.","divorced","basic.6y","no","yes","no","landline","no"
48,"admin.","married","university.degree","no","yes","no","landline","no"
55,"blue-collar","married","basic.9y","unknown","yes","no","landline","no"
58,"management","married","university.degree","unknown","no","no","landline","no"
47,"technician","married","high.school","no","yes","no","mobile","yes"
36,"admin.","divorced","university.degree","no","no","no","landline","no"
44,"services","married","basic.4y","unknown","no","no","mobile","no"
36,"blue-collar","single","basic.6y","no","yes","no","mobile","no"
32,"services","married","professional.course","no","yes","no","landline","no"
37,"housemaid","divorced","high.school","no","no","no","mobile","no"
77,"retired","divorced","high.school","no","no","no","landline","yes"
52,"admin.","married","unknown","no","no","no","mobile","yes"
39,"blue-collar","single","basic.4y","no","no","no","landline","no"
29,"admin.","married","high.school","unknown","no","no","mobile","no"
28,"admin.","married","high.school","no","no","yes","landline","no"
40,"admin.","divorced","university.degree","no","no","no","landline","no"
43,"services","married","basic.6y","unknown","yes","no","mobile","no"
46,"admin.","single","high.school","no","unknown","unknown","mobile","no"
59,"entrepreneur","married","university.degree","unknown","no","no","mobile","no"
26,"services","single","unknown","no","yes","no","mobile","yes"
50,"unemployed","married","basic.9y","no","yes","no","landline","no"
46,"entrepreneur","married","professional.course","no","no","yes","mobile","no"
32,"housemaid","married","basic.4y","no","no","no","landline","no"
41,"services","single","high.school","no","no","no","mobile","no"
